Country,WHO Region,adult_daly,child_daly,retention_pct,adult_cov,child_cov,actual_3TC,actual_ABC,actual_AZT,actual_ddl,actual_d4T,actual_EFV,actual_FTC,actual_LPV/r,actual_NVP,actual_TDF,actual_ATV/r,calc_3TC,calc_ABC,calc_AZT,calc_ddl,calc_d4T,calc_EFV,calc_FTC,calc_LPV/r,calc_NVP,calc_TDF,calc_ATV/r
Afghanistan,EMR,9224.366,1528.182,72.0,0.04985250737,0.11,35.66780209,3.483114137,15.83156254,0.1026422272,0.5238357521,21.36337968,7.057697955,4.612259383,16.42590132,23.74915871,0.4126282835,35.66780209225043,3.4831141374071803,15.83156254172799,0.10264222719528339,0.5238357521197289,21.363379681738536,7.05769795441417,4.612259382938519,16.425901315208378,23.046045126403495,0.41262828341289814
Albania,EUR,96.59686,1.898401,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,AFR,11055.12,530.9247,92.0,0.8840857334,0.95,186.1668323,3.71423875,70.80180194,0.08826703707,0.4559254035,140.0148999,49.1322222,15.75486505,77.09206589,164.9928191,2.513475486,186.16683228380228,3.714238749691114,70.80180194083322,0.08826703707307837,0.45592540352179795,140.01489989698123,49.13222219757404,15.754865045644236,77.09206589122661,160.7036350832237,2.5134754857124353
American Samoa,WPR,25.84525,2.673419,97.14,0.3637163359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054960460687768366,0.00021928793758632686,0.020440843554354854,0.0,0.0,0.04252129385094447,0.015477831449079833,0.004610894755255576,0.022443534331212357,0.04987412194746695,0.0008625691994358085
Andorra,EUR,83.20017,0.16957,97.14,0.3637163359,0.0,0.1769268888,0.000705924442,0.06580248435,0.0,0.0,0.1368831362,0.04982572069,0.01484323918,0.07224947995,0.1652872655,0.002776754105,0.17692688879003476,0.0007059244420592482,0.06580248435073094,0.0,0.0,0.1368831362443209,0.04982572069509053,0.014843239182804282,0.07224947995309407,0.16055311612888176,0.0027767541049060524
Angola,AFR,485015.9,163935.5,97.14,0.2942580225,0.24,1085.331064,84.82324472,466.4270296,2.455044855,12.55246681,689.470875,232.3995389,128.1310753,489.156981,780.4091668,13.0924953,1085.3310642714314,84.82324471827069,466.427029564649,2.455044855470437,12.552466809595435,689.4708749295091,232.39953883635562,128.13107532632878,489.15698097210134,758.0901917048087,13.092495294602962
Antigua and Barbuda,AMR,388.6716,25.17938,97.14,0.3637163359,0.0,0.8265182264,0.00329774305,0.307397892,0.0,0.0,0.639452871,0.2327620555,0.06934054969,0.3375151874,0.7721434454,0.01297167374,0.8265182264536824,0.003297743049975442,0.30739789205447005,0.0,0.0,0.6394528710349775,0.23276205545870818,0.06934054969314644,0.3375151874393646,0.7500277527173115,0.012971673744902245
Argentina,AMR,73886.85,4439.625,66.0,0.6312365145,0.95,3783.17524,122.2568016,1502.665107,3.136901173,16.20302415,2719.586642,953.9801015,350.7388265,1618.611918,3192.017671,50.92785033,3783.175239971295,122.25680156146845,1502.6651065209553,3.1369011725742917,16.20302414512729,2719.5866421352193,953.980101460698,350.73882653005575,1618.6119183202236,3105.149022014185,50.92785033237789
Armenia,EUR,773.9614,2.984153,85.0,0.2533687566,0.0,5.906417992,0.02398832805,2.206146201,0.0,0.0,4.553170884,1.663949792,0.5030584231,2.419804171,5.511532289,0.09433430596,5.906417991244107,0.023988328044019135,2.2061462007353185,0.0,0.0,4.55317088333267,1.663949791702687,0.5030584230651577,2.419804170608703,5.35073065452395,0.094334305940264
Australia,WPR,4679.178,164.2034,97.14,0.9026537647,0.9,28.29496571,0.4196127554,10.59212153,0.009244046329,0.04771365792,21.62148955,7.61552487,2.326812355,11.58183295,25.56709452,0.3883414316,28.29496571371183,0.4196127554060122,10.59212152564856,0.009244046328681128,0.04771365791644804,21.621489553384894,7.615524869971142,2.3268123552179167,11.581832951088456,24.904377862035698,0.38834143164862145
Austria,EUR,2459.371,0.0,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Azerbaijan,EUR,4968.917,54.72095,91.0,0.2758069884,0.83,25.9344138,0.4094426646,9.971884205,0.00893784553,0.04608649812,19.37491097,7.00204341,2.328492877,10.84517862,23.23726794,0.3955959245,25.934413806974526,0.4094426645812236,9.97188420664444,0.008937845529750119,0.046086498121620426,19.3749109719958,7.002043411430095,2.328492876948555,10.845178621324255,22.56291131366201,0.39559592453452674
Bahrain,EMR,983.6522,26.57196,48.0,0.3637163359,0.0,38.03194226,0.1517444737,14.14480469,0.0,0.0,29.42419646,10.71046321,3.190680735,15.53064132,35.52990605,0.5968869544,38.0319422637266,0.1517444737007262,14.144804686000493,0.0,0.0,29.424196458345527,10.710463207054275,3.190680735233121,15.530641322819172,34.5122603163016,0.5968869543830523
Bangladesh,SEA,13423.63,1215.904,80.0,0.1484019886,0.31,96.36547235,5.811427933,40.3528013,0.1645177058,0.8420048874,63.99663366,22.17149326,10.71141323,42.69378892,74.03099208,1.277250834,96.36547233100016,5.811427932899999,40.35280129672775,0.1645177057638126,0.8420048873704442,63.99663364420625,22.171493251700902,10.711413231087409,42.69378891355139,71.85419778189251,1.2772508339321362
Barbados,AMR,1087.004,60.36648,82.0,0.4269798068,0.0,17.2586914,0.06814839036,6.402401315,0.0,0.0,13.380694,4.859011923,1.435122309,7.033786498,16.13411664,0.2681005106,17.25869139555985,0.06814839034800343,6.402401313872005,0.0,0.0,13.380694001265542,4.8590119226218835,1.4351223089512788,7.033786497418357,15.676975614165176,0.2681005105465547
Belarus,EUR,25524.06,55.89697,87.0,0.1967635765,0.94,131.7777158,1.052728362,49.84185608,0.01494154053,0.07716629599,100.3103669,36.60652843,11.51594422,54.4774398,121.2299825,2.093400962,131.77771577907282,1.0527283620806218,49.841856072243125,0.014941540526451299,0.07716629599079204,100.31036687589578,36.606528427969344,11.51594422250494,54.477439793391866,117.66193779865954,2.093400961398228
Belgium,EUR,2829.539,138.2092,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,AMR,4533.936,374.1436,97.14,0.4605946994,0.8,14.64897557,0.6940941926,6.037697249,0.01871563721,0.09646223021,10.04816758,3.492806463,1.482417749,6.43567381,11.68234496,0.1916908475,14.648975571892356,0.6940941925645193,6.0376972492098995,0.01871563720877538,0.09646223020534547,10.048167578218218,3.4928064632627343,1.4824177494318145,6.43567381028717,11.355471651226894,0.19169084745075193
Benin,AFR,102444.2,35926.87,97.14,0.49794976,0.39,400.556193,30.52022018,171.8544625,0.8747829865,4.482264043,255.9980365,85.84425354,46.00300049,180.47193,289.014673,4.68317499,400.55619302486167,30.52022017986378,171.85446252884864,0.8747829864629778,4.4822640428615195,255.99803651531954,85.84425353977966,46.003000490669734,180.47193002269552,281.02835066079956,4.683174990167927
Bermuda,AMR,412.5798,10.71135,97.14,0.3637163359,0.0,0.8773595101,0.003500595793,0.3263067351,0.0,0.0,0.6787872786,0.2470798543,0.07360586707,0.3582766236,0.819639995,0.0137695951,0.8773595101021401,0.003500595793493165,0.32630673510556163,0.0,0.0,0.6787872786204001,0.24707985427477264,0.0736058670720691,0.35827662358323975,0.7961639085813261,0.013769595101203739
Bhutan,SEA,704.6815,221.0629,97.14,0.2518046743,0.0,1.018766015,0.004138644036,0.3805487001,0.0,0.0,0.7853120816,0.2870068419,0.08678810967,0.4173974705,0.9506391159,0.01627519505,1.0187660146696866,0.004138644035132819,0.3805487000693232,0.0,0.0,0.7853120814020472,0.28700684188035697,0.08678810965763108,0.4173974704479967,0.9228966017320852,0.016275195042368483
Bolivia,AMR,4419.861,23.27898,97.14,1.0,0.0,28.95903395,0.1031993158,10.45157603,0.0,0.0,22.91666465,8.109017686,2.203913468,11.54094645,27.2523059,0.4065270656,28.9590339523913,0.10319931578108114,10.451576029219597,0.0,0.0,22.91666465221113,8.109017685522767,2.2039134675186265,11.540946452592626,26.558436498654952,0.40652706559168555
Bosnia and Herzegovina,EUR,137.4223,3.249679,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,AFR,411632.0,44678.92,97.14,0.7745528681,0.95,2332.291709,99.9827681,947.0652812,2.655487925,13.71638206,1630.740964,562.1364243,223.1478707,1013.53278,1889.837275,29.30053281,2332.291708960954,99.98276810372285,947.0652811877633,2.6554879250654073,13.71638205982078,1630.7409640758383,562.1364243134695,223.14787072859139,1013.5327798484224,1839.8462305488401,29.300532811773316
Brazil,AMR,910360.7,46066.48,77.0,0.5481430753,0.76,26289.59234,698.9335161,10268.91329,17.60241657,90.67223413,19232.99969,6809.368921,2405.368229,11107.3162,22729.25285,368.4834049,26289.592343782457,698.9335160699142,10268.913287286705,17.602416567409946,90.67223413342222,19232.999688166947,6809.368920392517,2405.3682285399714,11107.31619733938,22100.814740199512,368.483404861528
Bulgaria,EUR,2487.548,111.4011,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burkina Faso,AFR,134589.2,53458.29,97.14,0.5715793963,0.31,577.0084996,36.2897442,239.9573743,1.034342709,5.293786539,385.2293551,131.0436506,62.55339676,254.0985612,440.4852262,7.064369443,577.0084996613787,36.289744199379896,239.95737430081883,1.0343427089264356,5.293786538589158,385.22935510390016,131.0436506511318,62.553396758474726,254.09856117067235,428.4366483692343,7.064369443100325
Burundi,AFR,156313.8,58894.3,90.0,0.5727580191,0.29,2295.019424,131.4326954,943.3816815,3.727011885,19.06949261,1557.470086,533.3556854,242.9998262,1002.377931,1790.824206,28.74689879,2295.019424460172,131.43269541196764,943.3816815905977,3.727011885168065,19.06949260857954,1557.4700862137909,533.3556854430635,242.99982619859543,1002.3779313472023,1741.7950652651998,28.746898795623785
Cambodia,WPR,117498.3,9475.154,79.0,0.74,0.0,3983.284772,14.90124281,1457.168045,0.0,0.0,3121.9678,1118.957463,316.1996189,1605.410244,3736.778155,58.6645718,3983.284772430735,14.901242806985325,1457.1680454525601,0.0,0.0,3121.9678000056806,1118.9574626577255,316.19961885796573,1605.4102444227708,3636.693771656775,58.66457180204358
Cameroon,AFR,1534503.0,282119.7,60.0,0.275878683,0.18,38770.31738,1603.05981,15553.8007,44.30764196,226.348916,27271.73787,9613.15808,3946.17001,16660.73268,32035.34814,543.1106059,38770.317383011155,1603.0598104567175,15553.800698860661,44.30764195534274,226.3489160204239,27271.737869830446,9613.158080741905,3946.1700101921756,16660.732678946748,31109.528992064315,543.1106059907389
Canada,AMR,16082.53,300.6256,97.14,0.3637163359,0.0,34.19983393,0.1364546613,12.71957051,0.0,0.0,26.45940681,9.631274165,2.869186919,13.96576989,31.94990353,0.5367444705,34.19983392789219,0.13645466129637862,12.719570508631904,0.0,0.0,26.459406815435333,9.631274165069787,2.869186919385205,13.965769887610012,31.034796043520412,0.5367444705314274
Cape Verde,AFR,4797.9,286.2016,96.0,0.3583525923,0.0,14.04686789,0.05609492273,5.225414719,0.0,0.0,10.8657228,3.95592775,1.179336939,5.737089208,13.12201527,0.2206466974,14.046867890434484,0.05609492272082745,5.225414718119769,0.0,0.0,10.865722796652658,3.9559277492299167,1.1793369387384,5.737089206870811,12.745833368580579,0.22064669740253479
Central African Republic,AFR,379740.6,61045.54,97.14,0.2386455254,0.25,620.3770087,33.74666072,255.7911015,0.952325034,4.869860915,420.4892667,146.2771506,66.91535921,271.7605361,488.3886384,8.31167615,620.3770086632005,33.74666071969676,255.79110153244199,0.9523250339653533,4.869860914689523,420.48926666973534,146.27715055646664,66.91535921269814,271.7605361132239,474.22097458743974,8.311676149995026
Chad,AFR,382228.3,131695.4,97.14,0.377897708,0.22,1037.427118,63.29751736,430.8924667,1.807741483,9.240226442,693.9033753,238.3712877,113.7295092,456.4724464,798.4337679,13.25471593,1037.4271180008525,63.29751736318044,430.89246662681524,1.8077414831234178,9.240226442167994,693.9033752660479,238.3712876961558,113.72950914826927,456.4724463974484,775.8349501228495,13.254715931399089
Chile,AMR,21219.3,684.7186,97.0,0.8655387793,0.0,123.016006,0.4497354048,44.71988757,0.0,0.0,96.85799868,34.50956765,9.57268735,49.32381812,115.5749441,1.771069453,123.01600595397838,0.4497354048210258,44.71988757254268,0.0,0.0,96.85799868480278,34.50956765471491,9.572687350199857,49.32381812079569,112.55275587439921,1.7710694528949482
China,WPR,1793457.0,117566.9,87.0,0.2518046743,0.0,11785.55032,47.87772346,4402.36108,0.0,0.0,9084.848647,3320.226164,1004.004471,4828.644477,10997.42725,188.2788858,11785.550315164644,47.87772345196312,4402.361079439489,0.0,0.0,9084.848645516848,3320.2261628978317,1004.0044705060893,4828.6444763101745,10676.4891827831,188.27888572936243
Colombia,AMR,111581.6,6073.543,68.0,1.0,0.0,8179.975227,29.15041461,2952.226692,0.0,0.0,6473.204508,2290.530958,622.5331134,3259.938029,7697.880651,114.8305337,8179.975226951585,29.150414613809673,2952.226691752529,0.0,0.0,6473.204508397103,2290.530958026354,622.5331133726811,3259.9380294585762,7501.885352347021,114.83053374958034
Comoros,AFR,877.152,135.2929,97.14,0.3583525923,0.0,1.836154434,0.007332520096,0.6830468173,0.0,0.0,1.420326955,0.5171041925,0.1541585474,0.7499310073,1.715261132,0.02884211733,1.836154433947921,0.007332520094814346,0.6830468171787983,0.0,0.0,1.420326954502714,0.5171041924636093,0.15415854737679177,0.749931007205106,1.6660880302019203,0.028842117326918056
Congo,AFR,203664.3,68989.94,97.14,0.3583525923,0.0,426.3333009,1.702524275,158.5953768,0.0,0.0,329.7830878,120.0654657,35.7937879,174.1250931,398.2633086,6.69679786,426.3333008211799,1.7025242744088795,158.5953767282614,0.0,0.0,329.7830877201752,120.06546571764787,35.79378789595319,174.12509306337202,386.84589718709293,6.696797859327274
Costa Rica,AMR,6931.142,460.2796,97.14,0.5647759027,0.53,25.39057497,0.6071193776,9.804784269,0.0152383926,0.07823579623,18.77615151,6.66067702,2.296320777,10.63247871,22.23095202,0.3594649662,25.390574967487733,0.6071193775861429,9.804784268170991,0.015238392599341405,0.07823579622914552,18.7761515058618,6.660677019075077,2.296320777063774,10.632478709638699,21.61787676555356,0.3594649661613291
Cote d'Ivoire,AFR,978347.4,266722.7,76.0,0.3583525923,0.24,20739.84012,1181.281993,8560.507577,33.51904289,171.3804424,14012.35091,4839.957017,2238.183444,9088.264148,16193.84639,269.9545085,20739.840116452106,1181.2819929866366,8560.507575859492,33.51904289010399,171.38044236947863,14012.35090745286,4839.957016253286,2238.183444195582,9088.264147168396,15733.599304976511,269.9545085004148
Croatia,EUR,276.0722,21.32453,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,AMR,15270.3,712.7452,96.0,0.6918382843,0.95,98.76440227,2.409552465,38.32884227,0.05924748556,0.3060308203,72.84099246,25.68430701,8.761280268,41.54015781,85.93616343,1.357461268,98.76440227568149,2.409552464926348,38.328842272605335,0.059247485558741805,0.3060308203010941,72.84099245922852,25.684307009278438,8.761280268698922,41.54015781224716,83.6204690802927,1.3574612680883527
Cyprus,EUR,159.06,0.86717,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,EUR,648.4643,56.03869,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,AFR,1478999.0,547783.6,86.0,0.3442309608,0.22,18412.1731,1278.33138,7772.995767,36.80753611,188.1408219,12017.7445,4090.624926,2094.368629,8193.817083,13719.17557,228.664484,18412.173102969617,1278.331380203564,7772.9957670962385,36.80753610629851,188.140821890545,12017.74450259587,4090.624925660284,2094.3686288151716,8193.8170831344,13329.333724698166,228.66448397785706
Denmark,EUR,1569.254,26.83577,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,EMR,17097.56,3597.963,86.0,0.2264610951,0.08,117.4253333,3.328256578,45.96551554,0.08786720273,0.4482409625,85.33942996,30.53478578,11.3345262,49.6237935,101.4712997,1.738274442,117.42533331618858,3.328256578162297,45.96551554294058,0.08786720272937953,0.44824096249592993,85.33942996390246,30.534785784189204,11.334526199533652,49.62379349505794,98.50838783167629,1.7382744423640706
Dominica,AMR,289.4071,11.57927,97.14,1.0,0.0,1.896202174,0.006757365153,0.6843564332,0.0,0.0,1.500555212,0.5309685739,0.1443095621,0.755687078,1.784447705,0.02661889574,1.8962021735441694,0.006757365152928323,0.6843564331651965,0.0,0.0,1.500555211729268,0.5309685739474289,0.14430956206213494,0.7556870779646963,1.7390139842881676,0.026618895735499266
Dominican Republic,AMR,89754.48,6675.191,95.0,0.4623791797,0.39,462.2545693,11.21983463,178.9111092,0.2841506236,1.455947524,340.8804444,121.3850392,42.46493704,193.8797858,404.4631852,6.659909368,462.25456929355903,11.219834627115969,178.91110924186341,0.2841506235950855,1.4559475236785848,340.8804444168075,121.38503918763078,42.464937037102274,193.8797857785535,393.106600189928,6.659909368117626
Ecuador,AMR,36970.94,302.0706,97.14,0.5259484778,0.95,119.060771,1.079368575,44.61842724,0.0179535412,0.09273536063,91.28444324,32.87349198,10.01757144,48.8624363,109.4067555,1.785321678,119.06077104093912,1.0793685748080528,44.61842724345691,0.017953541196100146,0.09273536062732264,91.28444324964467,32.873491982588135,10.017571439473167,48.86243630223961,106.36205770831623,1.7853216783931458
Egypt,EMR,9186.052,1936.476,80.0,0.192037037,0.27,94.48874704,7.876880302,41.14222164,0.2281724705,1.16712687,58.87712942,19.76716144,11.44554097,42.99911821,66.37511211,1.13122986,94.48874702884274,7.87688030191894,41.14222163397151,0.22817247050576647,1.1671268702988125,58.87712941033001,19.76716143420963,11.445540966123271,42.99911820177222,64.44703169604986,1.1312298599580262
El Salvador,AMR,24380.72,828.4091,83.0,0.5398461977,0.78,499.7751378,10.09474134,192.3145072,0.2401410698,1.2373534,372.0419886,132.5683728,44.3876658,208.9378302,442.0114,7.183477459,499.7751377878662,10.09474133813421,192.31450718212588,0.24014106982032804,1.2373534003611575,372.0419886138662,132.56837282434424,44.38766580669672,208.9378302411574,429.76035852927436,7.18347745904734
Equatorial Guinea,AFR,35612.91,9739.08,97.14,0.3299214424,0.1,74.59058214,2.271798024,29.22392173,0.06073907511,0.309938683,54.0845598,19.24129951,7.190477589,31.53132674,64.05087474,1.077987634,74.59058215047288,2.2717980244547205,29.223921729351456,0.060739075109639815,0.3099386830280105,54.08455980083679,19.241299507175555,7.1904775895631445,31.531326739762406,62.21309838759602,1.0779876341692791
Eritrea,AFR,33785.33,13925.24,79.0,0.6292451587,0.35,1196.844245,78.34329118,500.1387478,2.23396317,11.43998368,793.6850757,268.4867923,130.35608,528.8819658,903.9210813,14.33775919,1196.844244658424,78.34329118158664,500.1387477306157,2.233963170403934,11.439983684958419,793.6850756322121,268.4867923150814,130.35607995948635,528.88196580287,879.4649649847637,14.3377591878944
Estonia,EUR,1846.886,20.90268,97.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
